P,kappa,waveform,branch,theta0,polarity,tau,discovery_macro_ba,discovery_gate_auc,discovery_cont_auc,discovery_gate_rate,phase_rule,confirmation_gate_auc,confirmation_cont_auc,confirmation_macro_ba,confirmation_gate_rate,gate_family,raw_permutation_p,fwer_maxstat_p,discovery_selected,confirmation_max
6,phi,sawtooth,rotation,0.6557180436260861,1,-0.4721359549995563,0.6448132114798781,0.489247311827957,0.510752688172043,0.7032967032967034,exact_circular_interval,0.5063025210084033,0.49789915966386555,0.4369109415974226,0.7931034482758621,circular_interval,0.44240557594424057,1.0,False,False
6,phi,sawtooth,oscillation,5.893702504774586,1,0.7006712880939359,0.6233645983645983,0.5645161290322581,0.6881720430107527,0.13186813186813187,exact_circular_interval,0.5063025210084033,0.36134453781512604,0.5340225706209794,0.12931034482758622,circular_interval,0.4210057899421006,1.0,False,False
6,sqrt2,sawtooth,rotation,1.424596755403086,1,-0.6617604580796652,0.6965969215969215,0.6505376344086021,0.5967741935483871,0.7582417582417582,exact_circular_interval,0.5525210084033614,0.41386554621848737,0.5562993349309705,0.8448275862068966,circular_interval,0.04449955500444996,0.984120158798412,False,False
6,sqrt2,sawtooth,oscillation,0.5219840237435864,1,0.30892310261495015,0.6999438832772166,0.6129032258064516,0.6021505376344086,0.38461538461538464,exact_circular_interval,0.5441176470588235,0.5630252100840336,0.5685203220109311,0.3577586206896552,circular_interval,0.2054579454205458,0.995720042799572,False,False
6,sqrt3,sawtooth,rotation,1.0673434187950859,1,-0.07820939854676945,0.5978956228956229,0.5967741935483871,0.6236559139784946,0.4835164835164835,exact_circular_interval,0.4810924369747899,0.4495798319327731,0.5046238507264659,0.5301724137931034,circular_interval,0.6385436145638543,1.0,False,False
6,sqrt3,sawtooth,oscillation,5.898128617782586,1,0.6219220657357138,0.6051266634599968,0.3924731182795699,0.3978494623655914,0.2087912087912088,exact_circular_interval,0.4327731092436975,0.40756302521008403,0.45291118684150516,0.19827586206896552,circular_interval,0.938510614893851,1.0,False,False
12,phi,sawtooth,rotation,4.123543620191587,1,-0.5002588016678315,0.6344075677409011,0.5913978494623656,0.5376344086021505,0.6813186813186813,exact_circular_interval,0.5105042016806722,0.4831932773109244,0.5238351668873711,0.7629310344827587,circular_interval,0.4198258017419826,1.0,False,False
12,phi,sawtooth,oscillation,3.7652668483485865,1,-0.03053702479542386,0.6303831970498637,0.6774193548387096,0.6559139784946236,0.4835164835164835,exact_circular_interval,0.5084033613445378,0.44537815126050423,0.5115260747360982,0.5301724137931034,circular_interval,0.43879561204387957,1.0,False,False
12,sqrt2,sawtooth,rotation,2.702767076690586,1,0.16666666666666474,0.6200256533589867,0.46774193548387094,0.532258064516129,0.37362637362637363,exact_circular_interval,0.5945378151260504,0.5546218487394958,0.5281074475283424,0.46120689655172414,circular_interval,0.03928960710392896,0.5965540344596554,False,True
12,sqrt2,sawtooth,oscillation,3.5899146279350864,1,-0.05501745859199525,0.634299342632676,0.5913978494623656,0.5806451612903226,0.5494505494505495,exact_circular_interval,0.49159663865546216,0.5126050420168067,0.5278204820374183,0.5172413793103449,circular_interval,0.5608343916560834,1.0,False,False
12,sqrt3,sawtooth,rotation,0.30613967471108605,1,-0.26666049839544004,0.7299623216289883,0.553763440860215,0.5967741935483871,0.5934065934065934,exact_circular_interval,0.523109243697479,0.47478991596638653,0.4885596700265084,0.6896551724137931,circular_interval,0.3250467495325047,0.999940000599994,True,False
12,sqrt3,sawtooth,oscillation,3.431937698144086,1,0.08595134684812145,0.6290123456790124,0.6021505376344086,0.6129032258064516,0.4835164835164835,exact_circular_interval,0.4222689075630252,0.42436974789915966,0.49169510383968446,0.3620689655172414,circular_interval,0.9314606853931461,1.0,False,False
24,phi,sawtooth,rotation,1.5501315311545856,1,0.7569660112500394,0.6427849927849928,0.5645161290322581,0.5645161290322581,0.15384615384615385,exact_circular_interval,0.49789915966386555,0.5252100840336135,0.4554773616996455,0.09913793103448276,circular_interval,0.5073349266507335,1.0,False,False
24,phi,sawtooth,oscillation,5.803007207396586,1,-0.49353027966662744,0.597017797017797,0.553763440860215,0.5483870967741935,0.7362637362637363,exact_circular_interval,0.49159663865546216,0.5546218487394958,0.4778385159360443,0.7672413793103449,circular_interval,0.5825941740582594,1.0,False,False
24,sqrt2,sawtooth,rotation,1.424596755403586,1,0.3014790838411354,0.6523168189834857,0.43548387096774194,0.46236559139784944,0.43956043956043955,exact_circular_interval,0.46638655462184875,0.45588235294117646,0.5000937632972653,0.34913793103448276,circular_interval,0.7494225057749423,1.0,False,False
24,sqrt2,sawtooth,oscillation,2.908611435629086,1,-0.47002238489003645,0.675280583613917,0.521505376344086,0.4946236559139785,0.7032967032967034,exact_circular_interval,0.4054621848739496,0.3487394957983193,0.5267849748399507,0.7241379310344828,circular_interval,0.968430315696843,1.0,False,False
24,sqrt3,sawtooth,rotation,2.0601761947700865,1,0.517949192431254,0.6925845759179092,0.6075268817204301,0.6182795698924731,0.27472527472527475,exact_circular_interval,0.5651260504201681,0.5462184873949579,0.5509833686703713,0.27586206896551724,circular_interval,0.09122908770912291,0.9363406365936341,False,False
24,sqrt3,sawtooth,oscillation,3.977459186528586,1,-0.04219778369605354,0.6505531505531505,0.5860215053763441,0.6881720430107527,0.4945054945054945,exact_circular_interval,0.5714285714285714,0.5882352941176471,0.5829120476823294,0.5086206896551724,circular_interval,0.09191908080919191,0.8916810831891681,False,False
6,phi,square,rotation,4.36386516293162,1,0.0,0.6117925284591952,0.510752688172043,0.510752688172043,0.5274725274725275,exact_half_cycle,0.4894957983193277,0.4894957983193277,0.4022158035217249,0.49137931034482757,half_cycle_square,0.5762142378576214,1.0,False,False
6,phi,square,oscillation,2.95912356590335,1,0.0,0.5656846240179573,0.6290322580645161,0.6290322580645161,0.4725274725274725,exact_half_cycle,0.36554621848739494,0.36554621848739494,0.40045784994102457,0.46120689655172414,half_cycle_square,0.99370006299937,1.0,False,False
6,sqrt2,square,rotation,4.74321559809339,1,0.0,0.6358625941959276,0.5376344086021505,0.5376344086021505,0.5164835164835165,exact_half_cycle,0.453781512605042,0.453781512605042,0.4863511789827493,0.5043103448275862,half_cycle_square,0.8016219837801623,1.0,False,False
6,sqrt2,square,oscillation,2.75585525565543,1,0.0,0.6446408529741864,0.4946236559139785,0.4946236559139785,0.5054945054945055,exact_half_cycle,0.5777310924369747,0.5777310924369747,0.5530106387677797,0.5474137931034483,half_cycle_square,0.07220927790722093,0.8270217297827022,False,False
6,sqrt3,square,rotation,4.82516708254367,1,0.0,0.5687870771204104,0.6397849462365591,0.6397849462365591,0.5054945054945055,exact_half_cycle,0.49369747899159666,0.49369747899159666,0.4995975870462306,0.4870689655172414,half_cycle_square,0.5478145218547814,1.0,False,False
6,sqrt3,square,oscillation,2.73708860354014,1,0.0,0.5727032227032227,0.3978494623655914,0.3978494623655914,0.5494505494505495,exact_half_cycle,0.4684873949579832,0.4684873949579832,0.44593489691474564,0.5344827586206896,half_cycle_square,0.7239427605723943,1.0,False,False
12,phi,square,rotation,0.78621121281615,1,0.0,0.6141133557800225,0.553763440860215,0.553763440860215,0.3956043956043956,exact_half_cycle,0.48739495798319327,0.48739495798319327,0.503085277728228,0.5258620689655172,half_cycle_square,0.5924940750592494,1.0,False,False
